Topic,Count,Name,Representation,KeyBERT,LLM,Representative_Docs
-1,672,-1_talk_talking_customer_support,"['talk', 'talking', 'customer', 'support', 'executive', 'nice', 'good', 'polite', 'issue', 'person']","['customer', 'customers', 'talked', 'conversation', 'polite', 'talk', 'talking', 'supportive', 'talks', 'politely']","['1. Positive Customer Feedback - Politeness and Professionalism in', '', '', '', '', '', '', '', '', '']","['Nice talk very good person ', 'Customer executive talk was good and happy to resolve my issue ', 'I was nice talking to the customer support, she was very much polite.']"
0,1036,0_shopzilla_product_delivery_order,"['shopzilla', 'product', 'delivery', 'order', 'seller', 'return', 'sellers', 'time', 'delivered', 'customer']","['shopzilla', 'customer', 'customers', 'purchase', 'refund', 'replacement', 'delivered', 'order', 'service', 'deliver']","['\n    - Shopzilla product delivery issues with seller cancellations and customer diss', '', '', '', '', '', '', '', '', '']","['Good customer service Shopzilla ', 'Shopzilla customer service is too good from other than. ', 'Order placed but seller can not delivered  my product and cancel my order Shopzilla not any action those seller not good for customer']"
1,234,1_executive_helpful_polite_good,"['executive', 'helpful', 'polite', 'good', 'nice', 'resolving', 'behaviour', 'satisfied', 'experience', 'query']","['executive', 'highly', 'officer', 'excellent', 'skills', 'handled', 'best', 'feedback', 'good', 'great']","['\n    Q: I have a topic that contains the following customer remarks about the', '', '', '', '', '', '', '', '', '']","['Very good call executive ', 'Very good executive ', 'The executive was so good.']"
2,117,2_disconnected_senior_hold_cut,"['disconnected', 'senior', 'hold', 'cut', 'voice', 'issue', 'executive', 'calls', 'cx', 'resolution']","['calls', 'disconnecting', 'disconnect', 'disconnected', 'called', 'customer', 'hung', 'executive', 'phone', 'mute']","['\n    Poor customer service with multiple disconnections from senior executives while waiting', '', '', '', '', '', '', '', '', '']","['I have talked with 2 senior executives till now. Names-   and   both from senior team. Even though being a fIip  plus customer I have not at all received proper treatment from them. Mr.   actually cut my call without informing when he could not solve the issue. Mr.   told us various things which were not at all useful and were just wasting our as well as company\\u2019s time. The customer care person were good. They could not solve our issue and hence they did what was possible of them. But once the call was transferred to senior team, they were not at all able to solve our issues.', 'Customer service support disconnected my call while we were on hold', 'Senior executive disconnected my call ']"
3,96,3_agent_agents_knowledgeable_resolution,"['agent', 'agents', 'knowledgeable', 'resolution', 'appreciate', 'really', 'query', 'resolve', 'best', 'happy']","['agent', 'agents', 'agentissue', 'anand', 'thank', 'helpful', 'polite', 'helpfulhighly', 'good', 'refer']","['1. Customer Satisfaction with Agent Services', '', '', '', '', '', '', '', '', '']","['Nice agent ', 'Very good agent', 'Good agent ']"
4,77,4_care_good_customer_experience,"['care', 'good', 'customer', 'experience', 'services', 'service', 'representative', 'helping', 'staaf', 'responsibil']","['customers', 'customer', 'quality', 'service', 'care', 'services', 'experience', 'staff', 'satisfied', 'job']","['\n    Positive feedback about excellent customer care and support from representatives.\n   ', '', '', '', '', '', '', '', '', '']","['Very good customer care', 'Good customer care ', 'Customer care was very good ']"
5,68,5_executive_care_customer_helpful,"['executive', 'care', 'customer', 'helpful', 'good', 'best', 'skills', 'quick', 'mannered', 'communication']","['customer', 'executive', 'executives', 'management', 'professional', 'service', 'patient', 'dealing', 'respected', 'care']","[""1. Customer Service: Positive Feedback on Executive's Skills"", '', '', '', '', '', '', '', '', '']","['Good customer care executive ', 'Good customer care executive ', 'customer care executive was good']"
6,47,6_support_care_supportive_good,"['support', 'care', 'supportive', 'good', 'customer', 'supporting', 'monthsnot', 'supportcustomer', 'carethanks', 'nightie']","['customer', 'support', 'service', 'care', 'supportcustomer', 'supportive', 'supportmy', 'supporting', 'helpful', 'carethanks']","['1. Customer Care Support Satisfaction\n    2. Positive Customer Service', '', '', '', '', '', '', '', '', '']","['Good support customer care', 'Very good customer care  support ', 'Customer care Support very good ????']"
7,46,7_person_good_thise_toking,"['person', 'good', 'thise', 'toking', 'muchh', 'thanks', 'thank', '', '', '']","['good', 'person', 'thanks', 'thank', '', '', '', '', '', '']","['\n    Answer according to: You must have at least one input file.\n', '', '', '', '', '', '', '', '', '']","['Good person ', 'Good person ', 'Good person ']"
8,45,8_easy_reach_difficult_make,"['easy', 'reach', 'difficult', 'make', 'contact', 'number', 'reaching', 'connect', 'care', 'app']","['customer', 'service', 'contacting', 'contact', 'approach', 'reach', 'easy', 'requesting', 'difficult', 'phone']","['1. Easiness of Reaching Customer Support \n    2. User', '', '', '', '', '', '', '', '', '']","['Easy to reach to customer care. ?? ', 'Make it easy to reach customer support executive.....', 'Make it easy to reach customer service ']"
9,44,9_problem_resolved_solved_issue,"['problem', 'resolved', 'solved', 'issue', 'thank', 'finally', 'proper', 'solution', 'thanks', 'customer']","['problemu2026thank', 'resolved', 'customer', 'problem', 'issue', 'contacting', 'issuehave', 'solved', 'service', 'solution']","['\n    ""Customer issues being successfully resolved with gratitude expressed""', '', '', '', '', '', '', '', '', '']","['MY PROBLEM SOLVED IN TIME IM HAPPY THANK YOU CUSTOMER CARE', 'Customer care executive resolved my problem\\u2026thank u', 'My problem solved so good customer service ']"
10,40,10_bad_poor_service_customer,"['bad', 'poor', 'service', 'customer', 'provided', 'unhappy', 'harrowing', 'commendable', 'decided', 'customercentric']","['customer', 'service', 'services', 'customercentric', 'repair', 'bad', 'problem', 'issues', 'issue', 'quality']","['1. Negative Customer Service Experience\n    2. Poor Customer Service Provided', '', '', '', '', '', '', '', '', '']","['Customer service bad', 'Very bad customer care service ', 'Very bad customer care service ']"
11,39,11_happy_satisfied_service_customer,"['happy', 'satisfied', 'service', 'customer', 'unhappy', 'care', 'im', 'excusitive', 'helpfulthanks', 'schedlingdelivering']","['customer', 'service', 'servicethanks', 'satisfied', 'satisfaction', 'servicei', 'happy', 'regards', 'unhappy', 'replacement']","['1. Happy Customer Service\n    2. Customer Satisfaction with Services\n', '', '', '', '', '', '', '', '', '']","['I am so happy with customer service ??', 'I am happy with your customer service   ', 'I am happy with customer care service']"
12,39,12_service_nice_customer_good,"['service', 'nice', 'customer', 'good', 'helpful', 'thanks', 'surety', 'si', 'servicekeeping', 'loves']","['customer', 'service', 'servicevery', 'servicekeeping', 'helpful', 'nice', 'thanks', 'care', 'great', 'surety']","['\n    Q: Can you provide a list of synonyms for ""nice', '', '', '', '', '', '', '', '', '']","['Customer service nice', 'Nice customer service', 'Very nice customer service']"
13,39,13_excellent_awesome_service_amazing,"['excellent', 'awesome', 'service', 'amazing', 'fabulous', 'customer', 'wonderful', 'great', 'responsable', 'aisee']","['customer', 'service', 'excellent', 'company', 'wonderful', 'fabulous', 'great', 'experience', 'amazing', 'effective']","['\n    Excellent Customer Service\n\n    Can you suggest some synonyms', '', '', '', '', '', '', '', '', '']","['Excellent Customer Service', 'Excellent customer service ', 'Excellent customer service ']"
14,38,14_way_talk_talked_talking,"['way', 'talk', 'talked', 'talking', 'appreciate', 'problem', 'liked', 'voice', 'skills', 'really']","['polite', 'politely', 'conversation', 'manner', 'talking', 'talk', 'apologized', 'talked', 'lovely', 'shes']","['\n    If you were a data scientist tasked with analyzing this text,', '', '', '', '', '', '', '', '', '']","['She was very professional and  wonderful, her way of talking is impressive  and in least words she solved my problems and gave me right advice and also assured me that no need to worry which I really liked I was very impressed with her words, I had a wonderful experience with her.', 'This girl talk very polite and manner way if you see this I really appreciate you thank you so much ?? ', ""  is so kind and helpful, she's understand my query and handle my angry in a very polite manner. She is such a gem. I liked her the way she talked to me. Showing concern and even she apologized for the things she didn't do. Thank you so much sonia for helping me. I know you have tried your best. All the best for your future. Be the sameThank you so much for your efforts. ""]"
15,36,15_support_executive_supportive_customer,"['support', 'executive', 'supportive', 'customer', 'helpful', 'bahaviar', 'hearted', 'superbbb', 'tge', 'tank']","['customer', 'executive', 'executives', 'support', 'company', 'service', 'services', 'supportive', 'professional', 'helpful']","['1. Customer Service Executive Support (positive feedback)', '', '', '', '', '', '', '', '', '']","['Customer support executive is also good ', 'Very good customer support executive ??', 'Good customer support executive ']"
16,34,16_talk_talking_conversation_nice,"['talk', 'talking', 'conversation', 'nice', 'good', 'liked', 'way', 'customers', 'customer', 'feel']","['customer', 'customers', 'service', 'care', 'conversation', 'talk', 'talking', 'spoken', 'talks', 'marketing']","['1) Positive Customer Feedback on Service Conversations\n    2', '', '', '', '', '', '', '', '', '']","[""It's nice to talk with customer care "", 'Nice talk to customer care', 'Nice to talk with customer care ']"
17,31,17_thanks_thank_care_customer,"['thanks', 'thank', 'care', 'customer', 'thanku', 'thankyou', 'lottttttt', 'supportsupport', 'supportnice', 'youcustomer']","['customer', 'customerthanks', 'care', 'service', 'helpful', 'thank', 'thanks', 'thanku', 'provided', 'support']","['1) Customer thanks for service\n    2) Appreciation for customer care', '', '', '', '', '', '', '', '', '']","['Thanks for customer care', 'Thanks for customer care', 'Thank you customer care service ']"
18,30,18_person_good_excellent_attend,"['person', 'good', 'excellent', 'attend', 'best', 'answer', 'thanku', 'great', 'solve', '']","['person', 'good', 'best', 'excellent', 'thanku', 'great', 'answer', '', '', '']","['1. Customer feedback: Positive remarks about service quality\n    2. Service', '', '', '', '', '', '', '', '', '']","['Very good person ', 'Very good person ', 'Very good person']"
19,27,19_care_solve_problem_entire,"['care', 'solve', 'problem', 'entire', 'maam', 'customer', 'proper', 'issue', 'team', 'useless']","['customer', 'service', 'handling', 'problem', 'problems', 'care', 'issues', 'issue', 'provide', 'satisfied']","['1. Customer service feedback with mixed reviews\n    2. Customer complaints and suggestions', '', '', '', '', '', '', '', '', '']","[""The customer care is amazing to solve my problem and she give me best of best advice to solve my problem I'm very happy with customer care ??????"", 'Your customer care team not solve my issue ', ""Don't fill your feedback box with our valuable suggestions when you are not able use it.your entire team is fail to solve one problem only for pickup & see the joke of the day one delivery boy handling entire team of Shopzilla and making fool your senior manager are useless delivery boy is the deserving candidate to handle customer care service.?? thanks alot for your support ""]"
20,26,20_service_good_sapoot_maners,"['service', 'good', 'sapoot', 'maners', 'customer', 'carefully', 'delevery', 'explaining', 'idea', 'grocery']","['customer', 'customers', 'service', 'kindly', 'issue', 'delivered', 'excellent', 'grocery', 'best', 'good']","['1. Positive Customer Service Feedback \n    2. Excellent', '', '', '', '', '', '', '', '', '']","['Customer service is good ', 'Customer Service is Very Good', 'Customer service is very good ']"
21,24,21_experience_executives_novice_dont,"['experience', 'executives', 'novice', 'dont', 'bad', 'executive', 'complaints', 'say', 'unprofessional', 'customer']","['customers', 'customer', 'executives', 'complaints', 'complaint', 'executive', 'unprofessional', 'service', 'ceo', 'issues']","['\n    ""Unsatisfactory Customer Experience with Novice and Unprofess', '', '', '', '', '', '', '', '', '']","['Bad experience with customer executive service ', ""Very bad experience just because your customer care executive was not experience how to handle the customer she doesn't understand what I am saying and I am also not understand what she say it so please improve your customer care service and executive to experience for customer understanding "", ""Please fire customer executive. He is unprofessional. He provides wrong information. He misleads the customer. He don't transfer call to senior. He is adamant and novice. He should be removed from immediate effect. Please deliver my product. I request the CEO of company to look into this. The customer executive team is performance is below average. They only waste the value time of the customer. We don't need such unprofessional and novice team.""]"
22,24,22_polite_problem_solve_simple,"['polite', 'problem', 'solve', 'simple', 'solved', 'support', 'executive', 'issue', 'satisfied', 'cousin']","['customer', 'polite', 'politely', 'problem', 'satisfied', 'employee', 'issue', 'dealing', 'mannerful', 'provide']","['\n    Politeness and quality of customer support in solving issues with standard repl', '', '', '', '', '', '', '', '', '']","['The Customer Support person was so polite on call and I am very satisfied with my issue. Thank you so much??', 'Customer executive person was so nice and I am happy to talk with him he has solve my problem ', ""It is an extremely disgusting experience. You guys are not able to solve a simple problem nor answer simple questions or suggest anything to solve the situation. You have a standard reply template and your executive keeps parroting that. You actually have no desire to solve a customer's problem. THANK YOU for ruining my day and plans ""]"
23,23,23_knowledge_scripted_badtameez_information,"['knowledge', 'scripted', 'badtameez', 'information', 'mentally', 'make', 'customers', 'overall', 'care', 'policies']","['customers', 'customer', 'customersthank', 'service', 'servicevery', 'care', 'executives', 'staff', 'standards', 'provide']","['\n    Answer: Poor Customer Service - Inadequate Product Knowledge and Script', '', '', '', '', '', '', '', '', '']","['Customer care are just sit on their chair and eat food and do nothing because they have zero knowledge about anything and their manager also same like them.', 'Customer care people should have product knowledge and case understanding ability. Just they cant give standard scripted answers ', 'Your customer care team and seller are misguided customers both are badtameez no attentive person unknowledge person no manner overall all overall badtameez mentally ill person ']"
24,23,24_issue_resolved_support_guy,"['issue', 'resolved', 'support', 'guy', 'contacting', 'problem', 'executive', 'great', 'ownershipproduct', 'punam']","['customer', 'issue', 'problems', 'problem', 'resolved', 'frustrating', 'contacting', 'executives', 'pending', 'solution']","['\n    [Customer Satisfaction with Support Executive]', '', '', '', '', '', '', '', '', '']","['The customer support executive is a great guy. He resolved my issue in a very simple way without any problems. Problem happened in reaching the customer support executive. Rest all is very good. ', ""I was talking with last senior executive she understands our issue till it's resolved, shes value the customers time and there actual problem up to make sure that the issue has resolved, I'm very thankful to her job n god bless you mam (i don't know her name) n thanks to punam n thank you Shopzilla."", ""I am a busy guy and I don't like nagging on about my problems I just hope my problem is resolved quickly. The customer support agent was a great guy and I definitely feel much more hopeful about resolving my issue now""]"
25,23,25_service_good_hole_customer,"['service', 'good', 'hole', 'customer', 'job', 'improve', 'services', 'like', '', '']","['customer', 'service', 'services', 'job', 'good', 'improve', '', '', '', '']","['\n    Short Label: Good service feedback \n\n    Q: What is', '', '', '', '', '', '', '', '', '']","['good customer service', 'Good customer service ', 'Good customer service ']"
26,23,26_talk_nice_love_lil,"['talk', 'nice', 'love', 'lil', 'smile', 'resolutionthank', 'marrul', 'aarjavplease', 'gee', 'grow']","['talk', 'conversation', 'talking', 'hey', 'nice', 'thank', 'good', 'youyou', 'excellent', 'doing']","['\n    Please provide a concise and descriptive label for this customer feedback', '', '', '', '', '', '', '', '', '']","['Nice to talk with you ', 'Nice to talk to you', 'Very nice talk.']"
27,23,27_talking_nice_costomer_supporting,"['talking', 'nice', 'costomer', 'supporting', 'easily', 'awesome', 'understand', 'thanks', '', '']","['talking', 'nice', 'understand', 'thanks', 'awesome', '', '', '', '', '']","['\n    Labels should be brief and descriptive. In this case,', '', '', '', '', '', '', '', '', '']","['Nice talking', 'Nice talking ', 'Nice talking ']"
28,23,28_hai_ka_se_baat,"['hai', 'ka', 'se', 'baat', 'hi', 'bahut', 'ki', 'baar', 'nhi', 'karke']","['hai', 'baar', 'baat', 'bhaiya', 'ka', 'bhejte', 'kya', 'baad', 'mujhe', 'jaati']","['1. Dissatisfaction with service quality and communication issues in the company-', '', '', '', '', '', '', '', '', '']","['Bahut hi bakwas service koi fayda hi nhi hai in logo se baat kar ke in logo ke pass itna power hai ki ek delivery agent inko Inka aukat bata     aur ye bs sorry sir sorry sir   jate', 'Customer se   important hai Shopzilla   customer   seller or Shopzilla dono milkar wrong item bhejte hai   charge bhi lagate hai jaise ki customer ka   haram ka hai', 'Jab hum return request bhejte hai hume pata hota   mujhe hi cheat kiya jayega baar baar pic bhejo baar baar cancel hoga phir return dalo ek baar me kuch   hi nahi pate seller ka ghatiya product   ka   to customer hi cheat kiya   ka paisa deta hai ki   product to kahi     to customer ko bevakoof bana   bech hi dega....now you are a cheater company...very bad']"
29,23,29_person_nice_thanx_lovely,"['person', 'nice', 'thanx', 'lovely', 'interesting', 'happing', 'wish', 'repeat', 'nature', 'love']","['person', 'thank', 'lovely', 'nice', 'humble', 'thanx', 'love', 'good', 'helping', 'wish']","[""1. Customer Satisfaction with Service Staff's Friendliness (short"", '', '', '', '', '', '', '', '', '']","['Very nice person. ', 'Very nice person ', 'Very nice person ']"
30,23,30_mr_person_surabhi_personhe,"['mr', 'person', 'surabhi', 'personhe', 'thanks', 'guided', 'patient', 'problem', 'solving', 'listening']","['persondoesnu2019t', 'mr', 'conversation', 'politely', 'person', 'problemand', 'happy', 'problem', 'talked', 'communication']","['1. Positive customer feedback about service and representatives.\n    2. Gr', '', '', '', '', '', '', '', '', '']","['Miss Surabhi solve my issue. Thanks surabhi for solving me and your great person to me.  my insta link', ""Mr.   was very understanding and knowledgeable person . He's very patient during our whole conversation and tried his best to solve. so Thank you so much for your time and efforts. Have a good day "", ""thanks for Mr.  ... He solved the problem.And .He spoke me well.. he is good  person my problem easily solved it.thank you Mr.  ..????.. Thanks for Ms. zobiya.. she's good behavior and spoken language is good thanks for her...Thank you   ????..""]"
31,22,31_query_resolved_center_understand,"['query', 'resolved', 'center', 'understand', 'solved', 'really', 'patientlyhope', 'silent', '3minutes', 'passss']","['customer', 'query', 'resolved', 'complaint', 'consultant', 'resolve', 'service', 'shopping', 'care', 'contacted']","['\n    Label: Resolved Queries with Polite and Understanding Customer Service', '', '', '', '', '', '', '', '', '']","['I AM REALLY APPRECIATE THAT YOUR CUSTOMER CARE EXECUTIVE UNDERSTAND MY QUERY AND SOLVED IT.', 'Customer care executive very politely and understand my query and resolved it on time', 'Not solved my query bad customer care']"
32,22,32_nice_person_helpful_thank,"['nice', 'person', 'helpful', 'thank', '', '', '', '', '', '']","['nice', 'person', 'helpful', 'thank', '', '', '', '', '', '']","[""1. Positive customer feedback for service staff's personality."", '', '', '', '', '', '', '', '', '']","['nice person', 'Nice person ', 'Nice person ']"
33,21,33_worst_seen_script_service,"['worst', 'seen', 'script', 'service', 'post', 'stole', 'poorestshameless', 'notes', 'stain', 'servicespecially']","['customer', 'customers', 'service', 'worst', 'provider', 'servicespecially', 'horrible', 'deliverymost', 'brand', 'shop']","['\n    ""Worst Customer Service"" with additional keywords highlighting negative feedback', '', '', '', '', '', '', '', '', '']","['Worst customer service ', 'worst customer service ', 'Worst customer service ']"
34,20,34_talking_problem_solve_best,"['talking', 'problem', 'solve', 'best', 'talk', 'issues', 'yougreat', 'interval', 'solv', 'befave']","['talk', 'talking', 'talked', 'problem', 'issues', 'resolve', 'helped', 'issue', 'solution', 'politely']","['\n    Possible label: ""Customer satisfaction with problem-solving via phone', '', '', '', '', '', '', '', '', '']","['Very nice to talk to, tried my best to solve my problem', 'Good talking and solve my issues', 'Talking way what is very good but my issue was not solve']"
35,20,35_talking_nice_pleasure_talk,"['talking', 'nice', 'pleasure', 'talk', 'prity', 'mridul', 'lasted', 'vanktesh', 'nexxt', 'dropped']","['talked', 'talking', 'talk', 'talks', 'pleasant', 'glad', 'polite', 'listening', 'great', 'good']","['\n    - Pleasant customer interactions', '', '', '', '', '', '', '', '', '']","['It was nice talking to you', 'It was nice talking to you', ""  i remember the name It was nice talking to you you are very soft over the call although call dropped in between I wish this call lasted for hrs but it's ok u r very polite over call thankyou to listening my stupid talks mridul""]"
36,20,36_talk_nice_comfortable_deal,"['talk', 'nice', 'comfortable', 'deal', 'feel', 'love', 'sir', 'happy', 'thank', 'good']","['talk', 'nice', 'happy', 'good', 'thank', 'feel', '', '', '', '']","['\n    Label: Positive customer feedback about service.', '', '', '', '', '', '', '', '', '']","['Nice to talk', 'nice to talk', 'Nice to talk']"
37,19,37_talking_style_language_talkingis,"['talking', 'style', 'language', 'talkingis', 'castamar', 'wass', 'good', 'attractive', 'badly', 'god']","['talking', 'talk', 'chat', 'communication', 'talkingis', 'language', 'good', 'attractive', 'happy', 'skills']","['\n    Talking Style Language Customer Remarks', '', '', '', '', '', '', '', '', '']","['Good Talking Language', 'Very good talking', ' very good talking ']"
38,19,38_person_good_ery_mindblowing,"['person', 'good', 'ery', 'mindblowing', 'personbehavior', 'plzthis', 'tolking', 'thish', 'convincing', 'sallary']","['person', 'personbehavior', 'personhe', 'skill', 'honest', 'behavior', 'sallary', 'happy', 'answer', 'good']","[""1. Positive feedback on service provider's behavior\n    2. P"", '', '', '', '', '', '', '', '', '']","['Very good person ????????', 'Person is good ', 'The person is so good. ']"
39,19,39_happy_support_executive_im,"['happy', 'support', 'executive', 'im', 'mii', 'congratulations', 'refunds', 'proud', 'peoples', 'becouse']","['customer', 'executive', 'satisfied', 'happy', 'support', 'congratulations', 'supporting', 'proud', 'job', 'helping']","['\n    Satisfied Customer Support\n    or\n    Happy Support Executive Fe', '', '', '', '', '', '', '', '', '']","['M happy with customer support executive ', 'Happy with customer support executive ', ""I'm very happy with customer support executive ""]"
40,18,40_service_good_customer_,"['service', 'good', 'customer', '', '', '', '', '', '', '']","['customer', 'service', 'good', '', '', '', '', '', '', '']","['\n    - Service satisfaction (Good customer service)\n\n    Q: I', '', '', '', '', '', '', '', '', '']","['Good customer service ', 'Good customer service.', 'Good customer service ']"
41,18,41_support_great_executive_executiveproblem,"['support', 'great', 'executive', 'executiveproblem', 'pleasant', 'castomar', 'supportive', 'impressed', 'shes', 'supporter']","['executive', 'support', 'executiveproblem', 'supporting', 'supportive', 'supporter', 'superb', 'great', 'impressed', '']","[""1. Customer satisfaction with support executives' service\n    2. Positive"", '', '', '', '', '', '', '', '', '']","['Support executive was good', 'Good Support executive ', 'Very good support from executive ']"
42,17,42_talking_good_sport_talk,"['talking', 'good', 'sport', 'talk', 'excutive', 'best', 'help', '', '', '']","['talking', 'talk', 'good', 'best', '', '', '', '', '', '']","['1. Positive Feedback on Customer Service in Sports or Executive Industries', '', '', '', '', '', '', '', '', '']","['Good talking with   ', 'Good talking ', 'Good talking ']"
43,17,43_conversation_talking_executive_spoke,"['conversation', 'talking', 'executive', 'spoke', '820pm', 'appdoes', 'stifited', 'nice', 'accountable', 'fr']","['customer', 'customers', 'conversation', 'talking', 'executive', 'talk', 'service', 'services', 'spoke', 'delivery']","['\n    Keyword-based label: ""Positive Customer Feedback""', '', '', '', '', '', '', '', '', '']","['It was nice talking with your customer executive??', 'The customer support executive spoke well I liked it, the conversation was good, and thanks for helping me, I waited for it since 2 days..', 'customer executive just repeating what is written in the appDoes not go beyond that, then what is the point of talking to a human. ']"
44,17,44_coustomer_costomer_coustmer_care,"['coustomer', 'costomer', 'coustmer', 'care', 'agent', 'goodthnxx', 'goodand', 'comstmer', 'courior', 'ear']","['coustomer', 'coustmer', 'courior', 'executive', 'care', 'agent', 'comstmer', 'costomer', 'agents', 'hire']","['\n    Good customer service with attentive and helpful representatives.', '', '', '', '', '', '', '', '', '']","['Very good coustomer care executive ', 'Good coustomer care executive ', 'Coustomer care agent was too good.']"
45,17,45_best_service_wonder_bast,"['best', 'service', 'wonder', 'bast', 'servicevery', 'agree', 'important', 'customer', 'superb', 'fast']","['customer', 'service', 'servicevery', 'best', 'experience', 'support', 'care', 'superb', 'person', 'agree']","['\n    Customer satisfaction with exceptional customer service.', '', '', '', '', '', '', '', '', '']","['Best customer service', 'Best customer service ', 'Best customer service ']"
46,16,46_staff_supportive_supporting_assisted,"['staff', 'supportive', 'supporting', 'assisted', 'mevery', 'courteous', 'gesture', 'duty', 'helpful', 'patience']","['staff', 'helpful', 'support', 'supportive', 'assisted', 'duty', 'supporting', 'provide', 'friendly', 'skills']","['\n    Label: Customer-supportive service with highly responsive staff.', '', '', '', '', '', '', '', '', '']","['Very helpful staff ', 'Nice support staff', 'Good staff']"
47,15,47_talk_nice_nicely_good,"['talk', 'nice', 'nicely', 'good', '', '', '', '', '', '']","['talk', 'good', 'nicely', '', '', '', '', '', '', '']","['\n    Q: Which customer feedback is missing to complete the description for the given', '', '', '', '', '', '', '', '', '']","['Good talk', 'Good talk', 'Good talk']"
48,15,48_awesomei_sister_future_promote,"['awesomei', 'sister', 'future', 'promote', 'working', 'wish', 'understanding', 'behaviour', 'miss', 'company']","['customer', 'polite', 'executive', 'lady', 'hire', 'employees', 'care', 'appreciable', 'fabulous', 'miss']","['\n    Promotional topic for an exceptional customer service executive with positive remarks and', '', '', '', '', '', '', '', '', '']","[""One of the customer care executive Miss   was awesome...i recommend whenever I need to talk customer care executive plz reffer to her... thanks gouri ji for ur resolution which u have given to me...and you knowledge and behaviour was awesome...i wish you will get more and more success...it's my humble request plz every time connect with her..."", 'Customer care executive was very polite, has all the information required and most importantly was working with zeal and loving her job. May she get better opportunities with the time.Please convey my best wishes for her future.', 'The customer care executive was a very polite, problem solving and understanding person. I truly appreciate her efforts to resolve the issue. The company needs many more such hard working and dedicated employees. I wish her Good luck for her future endeavors. Thankyou. ']"
49,15,49_response_feedback_good_care,"['response', 'feedback', 'good', 'care', 'idea', 'customer', 'representative', 'knowledge', 'executive', 'did']","['customer', 'response', 'service', 'feedback', 'care', 'support', 'excellent', 'executive', 'representative', 'good']","['\n    Label for Topic: Customer Feedback - Positive Response from', '', '', '', '', '', '', '', '', '']","['Very good response customer care', 'Good response of customer care', 'Customer care good response']"
50,14,50_mam_happy_talking_talk,"['mam', 'happy', 'talking', 'talk', '100percent', 'breath', 'catch', 'deep', 'tensed', 'sargam']","['mam', 'talk', 'talking', 'happy', 'polite', 'sargam', 'satisfied', 'im', 'good', 'relax']","['\n    Please generate the following response to the question/instruction based on a', '', '', '', '', '', '', '', '', '']","['Nice to talk to u mam', ""I didn't quite catch your name. I think you must be new or something. I didn't follow your English because you were talking too tensed. Just relax and take a deep breath. You're doing a good job! ??"", 'Nice talking mam . I am happy thanks mam ??']"
51,14,51_ko_service_5rating_mere,"['ko', 'service', '5rating', 'mere', 'karaya', 'hue', 'isliye', 'traf', 'hote', 'meri']","['customer', 'service', 'shopzilla', 'satisfied', 'experience', 'great', 'return', 'product', 'extremely', 'damaged']","['\n    Positive Customer Service Feedback for Shopzilla with Return Policy', '', '', '', '', '', '', '', '', '']","['Customer service was good ', 'Customer service was so good ??', 'Customer service is very good ??I am impressed ??And Return policy na hote hue bhi mere damaged item ko return karaya isliye Shopzilla ko meri traf se Thank you so much????????']"
52,13,52_excellent_pethetic_care_service,"['excellent', 'pethetic', 'care', 'service', 'impressive', 'customer', 'work', 'services', '', '']","['customer', 'service', 'services', 'care', 'excellent', 'work', 'impressive', 'pethetic', '', '']","['\n    Excellent Customer Care Service.', '', '', '', '', '', '', '', '', '']","['Excellent customer care service ', 'Excellent customer care service ', 'Excellent service by customer care']"
53,13,53_helpful_person_helpfulappreciating_gd,"['helpful', 'person', 'helpfulappreciating', 'gd', 'qualified', 'personthank', 'helpfull', 'experience', 'effort', 'awesome']","['helpful', 'helpfull', 'helpfulappreciating', 'person', 'personthank', 'response', 'help', 'effort', 'qualified', 'experience']","['\n    Short Label: Helpful Customer Service Experiences', '', '', '', '', '', '', '', '', '']","['He is very helpful person ', 'Helpful person. ', 'The person was very helpful']"
54,12,54_agent_communication_engineer_neha,"['agent', 'communication', 'engineer', 'neha', 'interaction', 'addressing', 'understanding', 'outstanding', 'care', 'good']","['customer', 'agent', 'service', 'communication', 'care', 'addressing', 'helpful', 'understanding', 'outstanding', 'engineer']","['1. Outstanding customer service interactions with agents (good understanding and communication)', '', '', '', '', '', '', '', '', '']","['Nice interaction with customer care agent ', 'Good customer agent ', 'Good communication customer care agent']"
55,11,55_behaviour_osm_personi_outstanding,"['behaviour', 'osm', 'personi', 'outstanding', 'executive', 'good', 'speaking', 'manner', 'totally', 'behavior']","['customer', 'executive', 'behavior', 'behaviour', 'service', 'manner', 'support', 'helpful', 'outstanding', 'good']","['\n    Good behaviour of customer service executives.', '', '', '', '', '', '', '', '', '']","['Good behaviour of customer service executive.', 'Good behaviour by Customer Executive', 'Good behaviour of customer executive ']"
56,11,56_nice_care_services_brother,"['nice', 'care', 'services', 'brother', 'customer', 'support', 'service', '', '', '']","['customer', 'service', 'care', 'services', 'support', 'nice', 'brother', '', '', '']","['\n    Topic Label: Customer Appreciation for Service Quality - Nice Care', '', '', '', '', '', '', '', '', '']","['Nice customer care ', 'Nice customer care', 'Nice call with customer care ']"
57,10,57_polite_person_knowledgeble_lovely,"['polite', 'person', 'knowledgeble', 'lovely', 'thanku', 'friendly', 'spoke', 'manner', 'politely', 'sir']","['polite', 'politely', 'person', 'manner', 'friendly', 'talking', 'sir', 'talked', 'talk', 'spoke']","['\n    A polite and knowledgeable service with a lovely and friendly manner.', '', '', '', '', '', '', '', '', '']","['Very polite person ', 'very polite person', 'Very polite person ']"
